shoe,price,links,date,source
Jordan 11 Retro Cool Grey (2021),A$331,www.stockx.com/air-jordan-11-retro-cool-grey-2021,18/10/2022,StockX
Jordan 1 Mid White Black Red (2022),A$202,www.stockx.com/air-jordan-1-mid-white-black-red-2022,18/10/2022,StockX
Puma LaMelo Ball MB.01 Iridescent Dreams,A$244,www.stockx.com/puma-lamelo-ball-mb01-iridescent-dreams,18/10/2022,StockX
Nike Blazer Mid 77 Vintage White Black,A$129,www.stockx.com/nike-blazer-mid-77-vintage-white-black,18/10/2022,StockX
UGG Tazz Slipper Chestnut (W),A$307,www.stockx.com/ugg-tazz-slipper-chestnut-w,18/10/2022,StockX
Nike Dunk Low Judge Grey,A$244,www.stockx.com/nike-dunk-low-judge-grey,18/10/2022,StockX
Nike Dunk Low Triple Pink (GS),A$227,www.stockx.com/nike-dunk-low-triple-pink-gs,18/10/2022,StockX
Nike SB Dunk Low Los Angeles Dodgers,A$439,www.stockx.com/nike-sb-dunk-low-los-angeles-dodgers,18/10/2022,StockX
adidas Yeezy 350 V2 CMPCT Slate Bone,A$312,www.stockx.com/adidas-yeezy-350-v2-cmpct-slate-bone,18/10/2022,StockX
Nike Dunk Low Coconut Milk,A$236,www.stockx.com/nike-dunk-low-coconut-milk,18/10/2022,StockX
New Balance 550 White Green,A$284,www.stockx.com/new-balance-550-white-green,18/10/2022,StockX
Jordan 3 Retro Dark Iris,A$289,www.stockx.com/air-jordan-3-retro-dark-iris,18/10/2022,StockX
Nike Dunk Low Racer Blue White,A$230,www.stockx.com/nike-dunk-low-racer-blue-white,18/10/2022,StockX
Jordan 6 Retro Georgetown (2022),A$334,www.stockx.com/air-jordan-6-retro-georgetown-2022,18/10/2022,StockX
Jordan 1 Low Shadow Toe,A$255,www.stockx.com/air-jordan-1-low-shadow-toe,18/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Tide,A$161,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-tide,18/10/2022,StockX
Crocs Classic Clog Lightning McQueen,A$216,www.stockx.com/crocs-classic-clog-lightning-mcqueen,18/10/2022,StockX
Nike Dunk Low Retro White Grey,A$208,www.stockx.com/nike-dunk-low-retro-white-grey,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Beluga Reflective,A$454,www.stockx.com/adidas-yeezy-boost-350-v2-beluga-reflective,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Zebra,A$452,www.stockx.com/adidas-yeezy-boost-350-v2-white-core-black-red,18/10/2022,StockX
Jordan 5 Retro Green Bean (2022),A$224,www.stockx.com/air-jordan-5-retro-green-bean-2022,18/10/2022,StockX
Nike Dunk Low Rose Whisper (W),A$269,www.stockx.com/nike-dunk-low-rose-whisper-w,18/10/2022,StockX
Jordan 1 Low Bred Toe,A$200,www.stockx.com/air-jordan-1-low-bred-toe,18/10/2022,StockX
Nike Dunk Low Peach Cream (W),A$211,www.stockx.com/nike-dunk-low-peach-cream-w,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (PS),A$120,www.stockx.com/nike-dunk-low-retro-white-black-ps,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (TD),A$101,www.stockx.com/nike-dunk-low-retro-white-black-td,18/10/2022,StockX
Nike Air Force 1 Low Supreme Black,A$260,www.stockx.com/nike-air-force-1-low-supreme-box-logo-black,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Onyx,A$540,www.stockx.com/adidas-yeezy-boost-350-v2-onyx,18/10/2022,StockX
adidas Yeezy 700 V3 Dark Glow,A$376,www.stockx.com/adidas-yeezy-700-v3-dark-glow,18/10/2022,StockX
Nike Dunk Low Safari Mix (W),A$183,www.stockx.com/nike-dunk-low-safari-mix-w,18/10/2022,StockX
Jordan 4 Retro Black Canvas (GS),A$358,www.stockx.com/air-jordan-4-retro-black-canvas-gs,18/10/2022,StockX
